ID,Cost_class,Management,Administration,Enforcement,Establishment,Cost_type,Cost_km,GDP_pc,Protection_level,,,,,,,,,,,
BB20,Enforcement,0,0,1,0,pa,3.770404456,"86,261.00",Fully protected,,,,,,,,,,,
CD23,Maintenance,1,1,1,0,pa,51587.79762,"5,912.00",Fully protected,,,,,,,,,,,
WR03,Maintenance,1,1,1,0,pa/km2,"4,306.00","5,912.00",Partially protected,,,,,,,,,,,
WR03,Maintenance,1,1,1,0,pa/km2,"39,317.00","5,912.00",Partially protected,,,,,,,,,,,
WR03,Enforcement,0,0,1,0,pa,62406.66667,"5,912.00",Partially protected,,,,,,,,,,,
CLS11,Maintenance,1,1,1,0,pa,1611.555556,"5,912.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,174580.0,"5,912.00",Fully protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,42703.3,"5,912.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,5389218.0,"1,903.00",Fully protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,19882.9,"5,912.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,30968.0,"5,912.00",Fully protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,17060.0,"5,912.00",Fully protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,7763.9,"5,912.00",Fully protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,108996.1,"15,819.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,72169.5,"15,819.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,25215.7,"6,653.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,387.2,"10,795.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,69.0,"128,605.00",Partially protected,,,,,,,,,,,
MSZ11,Establishment,0,0,0,1,package,163.5,"128,605.00",Fully protected,,,,,,,,,,,
RNC15,Establishment,0,0,0,1,package,48876.1,"75,018.00",Fully protected,,,,,,,,,,,
GF13,Establishment,0,0,0,1,package,24699.7,"128,605.00",Partially protected,,,,,,,,,,,
SK23,Establishment,0,0,0,1,package,40219.0,"7,577.00",Partially protected,,,,,,,,,,,
XS17,Establishment,0,0,0,1,package,13613.8,"6,653.00",Partially protected,,,,,,,,,,,
PB18,Establishment,0,0,0,1,pa,92354,3515.24,Partially protected,,,,,,,,,,,
PB18,Establishment,0,0,0,1,pa,31061,,Fully protected,,,,,,,,,,,
H13,Establishment,0,0,0,1,package,28.21447475,"100,717.00",Partially protected,,,,,,,,,,,
